epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        38, 6329.894,    0.002,        0.0016652,       2.2875e-05,        0.0016881,        0.704,         1.06,        0.406,         1.04,         1.23,        0.947,        0.908,        0.569,         1.42,         1.63,         1.29,         1.23,         2.12,       0.0963,       0.00082597,       1.1765e-06,       0.00082715,        0.484,        0.746,        0.296,        0.728,        0.776,         0.59,        0.598,        0.415,         1.04,         1.08,        0.816,        0.838,        0.493,       0.0224
        39, 6492.951,    0.002,        0.0022182,        4.088e-05,        0.0022591,        0.773,         1.22,        0.435,         1.15,         1.36,         1.08,         1.01,        0.595,         1.65,         1.89,         1.61,         1.44,         2.62,        0.119,       0.00079946,       8.5672e-07,       0.00080032,        0.475,        0.734,        0.294,        0.703,        0.789,        0.573,        0.589,        0.411,         1.01,         1.11,        0.798,        0.831,        0.357,       0.0162
        40, 6659.614,    0.002,        0.0020203,       3.9792e-05,        0.0020601,        0.743,         1.17,        0.422,          1.1,         1.28,         1.05,        0.964,        0.587,         1.57,         1.79,         1.53,         1.37,         2.58,        0.117,       0.00082153,       1.4961e-06,       0.00082302,        0.484,        0.744,        0.297,        0.726,        0.773,        0.595,        0.598,        0.419,         1.03,         1.09,        0.812,        0.838,        0.533,       0.0242
        41, 6822.524,    0.002,        0.0023708,       6.1867e-05,        0.0024327,        0.738,         1.26,        0.425,         1.08,         1.23,         1.08,        0.956,        0.655,         1.64,         1.84,         1.89,         1.51,         2.48,        0.113,       0.00076362,        9.291e-07,       0.00076455,        0.462,        0.718,        0.287,        0.685,        0.728,        0.578,        0.569,          0.4,        0.991,            1,        0.868,        0.815,        0.396,        0.018
        42, 6985.348,    0.002,        0.0017201,       2.5007e-05,        0.0017451,        0.685,         1.08,        0.397,         1.02,         1.14,         0.95,        0.877,        0.541,         1.46,         1.56,         1.48,         1.26,         2.12,       0.0962,       0.00070854,       8.1054e-07,       0.00070935,        0.452,        0.691,        0.282,        0.677,        0.714,        0.536,        0.552,        0.395,        0.957,            1,        0.754,        0.777,        0.395,       0.0179
        43, 7149.016,    0.002,        0.0024675,       5.6126e-05,        0.0025237,        0.764,         1.29,        0.427,         1.14,         1.32,         1.12,            1,        0.592,         1.71,         1.92,         1.93,         1.54,         2.65,         0.12,       0.00078184,        9.065e-07,       0.00078275,        0.476,        0.726,        0.293,        0.704,        0.775,        0.588,         0.59,        0.411,        0.986,         1.09,        0.821,        0.827,        0.384,       0.0175
        44, 7311.780,    0.002,        0.0018891,       3.0602e-05,        0.0019197,          0.7,         1.13,        0.401,         1.02,         1.21,         1.03,        0.914,        0.574,         1.47,          1.7,         1.63,         1.34,         2.25,        0.102,        0.0012235,       1.7417e-06,        0.0012253,        0.575,        0.908,        0.327,        0.876,        0.963,        0.774,        0.735,        0.455,         1.26,         1.37,          1.1,         1.04,        0.517,       0.0235
        45, 7474.656,    0.002,         0.001862,       3.5321e-05,        0.0018973,        0.676,         1.12,        0.387,            1,         1.15,        0.953,        0.872,        0.562,          1.5,         1.65,         1.57,         1.32,         2.28,        0.104,       0.00067467,       9.7615e-07,       0.00067565,        0.436,        0.674,        0.272,        0.646,        0.693,         0.53,        0.535,        0.383,        0.925,        0.977,        0.778,        0.766,         0.38,       0.0173
        46, 7639.148,    0.002,        0.0018928,       3.4918e-05,        0.0019277,        0.717,         1.13,        0.409,         1.07,         1.22,            1,        0.924,        0.558,         1.53,         1.68,         1.51,         1.32,         2.55,        0.116,       0.00074448,        9.641e-07,       0.00074545,         0.46,        0.708,        0.282,        0.681,         0.77,        0.549,        0.571,        0.391,        0.973,         1.09,        0.751,        0.802,        0.437,       0.0199
        47, 7802.726,    0.002,        0.0018924,       3.4606e-05,         0.001927,        0.695,         1.13,        0.397,         1.04,          1.2,        0.949,        0.897,         0.55,         1.52,         1.73,         1.52,         1.33,         2.36,        0.107,       0.00070869,       9.0596e-07,       0.00070959,        0.443,        0.691,        0.272,        0.662,        0.737,         0.52,        0.548,        0.381,        0.944,         1.09,        0.717,        0.784,        0.379,       0.0172
        48, 7965.930,    0.002,        0.0021273,       4.2045e-05,        0.0021693,        0.703,          1.2,        0.399,         1.05,          1.2,        0.977,        0.908,        0.562,         1.61,         1.77,         1.73,         1.42,         2.49,        0.113,       0.00075721,       1.5389e-06,       0.00075875,        0.461,        0.714,        0.284,        0.688,         0.76,        0.548,         0.57,        0.396,        0.991,         1.05,        0.792,        0.807,        0.585,       0.0266
        49, 8129.752,    0.002,        0.0016919,       3.3921e-05,        0.0017258,        0.657,         1.07,        0.379,         0.97,         1.11,         0.93,        0.848,        0.528,          1.4,         1.58,         1.57,         1.27,         2.33,        0.106,       0.00070773,       8.6567e-07,        0.0007086,        0.447,        0.691,        0.275,        0.667,         0.73,        0.537,        0.552,        0.381,        0.955,         1.03,        0.767,        0.782,        0.352,        0.016
        50, 8292.182,    0.002,        0.0015827,        3.691e-05,        0.0016196,        0.658,         1.03,        0.397,        0.965,         1.11,        0.856,        0.832,        0.588,         1.38,         1.54,         1.26,         1.19,         2.46,        0.112,        0.0006875,       6.1202e-07,       0.00068812,        0.436,        0.681,         0.27,        0.648,        0.708,        0.523,        0.537,         0.38,        0.935,         1.03,        0.737,        0.771,        0.334,       0.0152
